state_idx,cos_sim,mean_A,mean_g_norm_sq,v_unbiased_norm,v_intentional_norm
135,0.9334895978762465,-0.004006117794086447,142133.14295507813,0.16606301069259644,1.2185171271994477e-06
136,0.5100268025920053,-0.026321662662573644,164180.26215625,0.24803991615772247,2.4874659629858797e-06
137,0.8906281541044666,0.02209916092816413,168333.8966777344,0.5566595792770386,4.081823135493323e-06
138,0.9893829493502285,-0.0009245676326159043,163045.23573632812,0.20930269360542297,1.3874073374608997e-06
139,0.979726204945141,0.008667719042188165,273545.78153515625,0.5584845542907715,2.0914185370202176e-06
140,0.9825098743657673,0.006775120489677308,264792.81641699217,0.8348578214645386,3.0988135222287383e-06
141,0.98444924070671,0.005772839999843322,280831.6408203125,1.629315972328186,4.714026999863563e-06
142,0.7769527166578424,0.01940893996789282,174299.00672265625,0.5799866318702698,5.463311481435085e-06
143,0.9941736849568803,-0.0014077302034043759,118564.96979882813,0.44090691208839417,3.816253865807084e-06
144,0.9927413130668871,0.002345319248693695,120258.78857226562,0.4168357253074646,3.607199914767989e-06
145,0.9868617170053409,0.0017847085522564772,130338.06393554687,0.2594747543334961,2.064793989120517e-06
146,0.8034821743509322,0.01444126928238541,166747.94904003906,0.3004540205001831,2.2413730675907573e-06
147,0.9926185058545414,-0.002372042440022218,176505.19709765626,0.4556853771209717,2.5128163088083966e-06
148,0.9943766397052574,0.0031615717744660184,265339.088921875,0.9372960329055786,3.367448925928329e-06
149,0.8342282617785732,0.021361718691708317,277665.6506015625,1.1989325284957886,4.3119352994835936e-06
150,0.9517451283942764,-0.0504481304967814,245616.5772558594,10.031759262084961,4.085194450453855e-05
151,0.7595999478355666,0.007785885541640507,235506.3192265625,0.35774311423301697,1.9150149910274195e-06
152,0.968115427514721,-0.00492595762687602,98311.65748828126,0.3106483221054077,3.6245735373086063e-06
153,0.7888412222748096,-0.008271770944176183,107939.90566992188,0.17360171675682068,2.1965747691865545e-06
154,0.8272510306751575,-0.011431865434349446,132837.62250683593,0.2996987998485565,2.5133681447186973e-06
155,0.8129546060315885,0.031048879583149645,162534.74193261718,0.6028879284858704,5.001608769816812e-06
156,0.9128074992990944,-0.007901599541133087,163842.36991601562,0.3123844861984253,1.987214091059286e-06
157,0.8616292287467285,-0.008720152756041941,201322.41553320314,0.2165856808423996,1.4683422477901331e-06
158,0.9972149714695662,-0.0004039162394439986,224782.897984375,0.9844444394111633,4.1458029045315925e-06
159,0.9746836180992569,-0.013234666652949943,280637.47503515624,1.0207247734069824,4.042990894959075e-06
160,0.9584684510457195,0.006262920193466436,307381.35531445313,0.8612239956855774,2.518289193176315e-06
161,0.8539599875275309,-0.03505261974808398,296852.90033203125,1.5442910194396973,5.318152943800669e-06
162,0.6942652955789934,0.0673006929778985,309478.01125195314,1.9502323865890503,1.0271699466102291e-05
163,0.9900164567316997,-0.0015705502768724124,114989.82863574219,0.3200099766254425,2.8688837119261734e-06
164,0.9630572432148657,0.0041345495515895895,101023.75132128906,0.28630661964416504,2.7217638489673845e-06
165,0.9913668229263674,0.0008462242561414448,128374.05395019532,0.2891881763935089,2.4150792796717724e-06
166,0.9357354355998677,0.007269854359833257,133963.31850341798,0.2932675778865814,2.065770786430221e-06
167,0.883393547525449,-0.00888360646895404,146930.82837109375,0.2312791794538498,1.7550160009704996e-06
168,0.9165967087033405,-0.010947513275053137,169374.78312695312,0.3091496229171753,2.393200475125923e-06
169,0.9871582699521664,0.0024394703975880367,222104.56603710938,0.3574606776237488,1.8810271740221651e-06
170,0.9824154213483749,0.002184780578443391,344135.0855410156,1.128178358078003,3.015319180121878e-06
171,0.6403813799718764,0.05342378169763167,187163.27898046875,1.1752101182937622,1.1298265235382132e-05
172,0.9086916341157664,-0.010679987101819433,210807.20714257812,0.7958932518959045,4.841665031563025e-06
173,0.4778390852939462,-0.02676640806891688,89991.04366308593,0.4029395282268524,8.7598709797021e-06
174,0.7831315443614398,0.012769009523583102,115629.7609140625,0.28143399953842163,3.201907475158805e-06
175,0.9068128117958107,-0.009100109753989416,123914.59954003907,0.329643189907074,3.0515648177242838e-06
176,0.9727055567282779,-0.009895214471808132,141057.33875585938,0.5360893607139587,4.063227152073523e-06
177,0.880222617732854,-0.015216798216191482,142733.13204492186,0.32801681756973267,2.8947799819434294e-06
178,0.8544799680463319,-0.01344149830683755,142951.98983789064,0.31794503331184387,2.6088987397088204e-06
179,0.748165548361739,0.07312943134752109,191400.82134179687,1.1790109872817993,9.232739103026688e-06
180,0.9459125795835562,0.012141928361465064,205866.82296679687,0.8294360041618347,3.984819159086328e-06
181,0.7154639301269,0.031917752969108246,245008.75256640624,0.5612021088600159,3.4769238936860347e-06
182,0.7164486051045883,0.02017930741643872,345960.8872109375,0.6069523096084595,1.7997091390498099e-06
183,0.9870735228363435,0.00022618688800204724,334803.66583984374,2.488130807876587,5.729799340770114e-06
184,0.9355119239514667,0.014957750827438653,192110.39100976562,1.8175171613693237,9.867150765785482e-06
185,0.9748036723965287,-0.002681908966733904,147151.507484375,0.21347691118717194,1.4379205595105304e-06
186,0.3066790014700969,-0.01999271774676093,105112.16821972656,0.21647857129573822,3.942374405596638e-06
187,0.777817774826884,-0.007576897382360521,119077.18153515625,0.19672299921512604,1.763229988682724e-06
188,0.9312592686019614,-0.004121020798673401,139828.08427929686,0.1603386104106903,1.00496049526555e-06
189,0.998438459428913,0.0005799618144549074,138101.62050390625,0.3166951537132263,2.5963940970541444e-06
190,0.8828822496507214,0.0071904549576183256,146571.8187548828,0.20765718817710876,1.7603806554689072e-06
191,0.991115386101911,0.0048025354365848275,134073.22162402343,0.5558196306228638,4.171567525190767e-06
192,0.9925566126665278,-0.0009742706239176946,153775.21863671875,0.1754017174243927,1.160532974608941e-06
193,0.9836547572857661,-0.0013442153797342553,228704.5406621094,0.13446255028247833,6.089310886636667e-07
194,0.8740049395387562,0.03203811827837555,294315.2719667969,1.0830774307250977,4.10299253417179e-06
195,0.9930797343759515,-0.002364580119600746,350100.98473632813,2.3477015495300293,7.764466317894403e-06
196,0.9564010110325131,-0.0181318299852294,278747.274046875,3.4737205505371094,1.4248041225073393e-05
197,0.9847157124303662,0.011797698983992744,160228.48804492186,3.4179720878601074,1.8915850887424313e-05
198,0.8214344649717791,-0.06941205707856644,87702.52565234376,1.7289849519729614,2.5719764380482957e-05
199,0.9833087313303738,-0.01923267076075688,93605.36777832032,1.7696257829666138,2.0019586372654885e-05
200,0.6129119606445905,-0.015601120851003146,111372.03111132812,0.1896907091140747,2.7856074211740633e-06
201,0.8267115127180731,-0.015061030049935581,109628.53719628906,0.3498210906982422,3.839393230009591e-06
202,0.812692836337448,0.010042127799290085,103943.95391796876,0.18667931854724884,2.265095645270776e-06
203,0.5505617925961191,-0.011899822836083282,99151.66655664063,0.11171227693557739,1.6787630556791555e-06
204,0.9385274129372171,-0.008386374329207634,101457.05049121093,0.27946892380714417,3.2650707453285577e-06
205,0.7049010257816536,-0.0037652503437334323,110864.78088964843,0.04251162335276604,6.445985150094202e-07
206,0.9358032275580161,-0.017320372793943186,131102.60636132813,0.6818131804466248,5.569279892370105e-06
207,0.5523062844950196,0.059608919638679675,131808.28630859376,0.6996659636497498,7.512412594223861e-06
208,0.6139266287737839,0.027139377958453326,140944.60308984376,0.3560604155063629,3.689719960675575e-06
209,0.9984505365154559,0.0014466750715686541,171382.22873632814,0.4779316484928131,3.0030537345737685e-06
210,0.9949759254966799,-0.0006066659600184501,214610.32643164063,0.6761360764503479,3.2892592116695596e-06
211,0.9915848151830743,-0.003236065559554323,279413.96602734376,1.37508225440979,4.94651749249897e-06
212,0.9861590538250137,-0.001543987342111042,287366.39545703126,2.7470011711120605,1.1362430086592212e-05
213,0.9430051037556018,0.010858867325975421,294250.48494921875,1.1626410484313965,4.448898380360333e-06
214,0.6171350821746763,-0.018162610593546312,272551.21792773437,0.757486879825592,2.9233608529466437e-06
215,0.9968244973189763,0.00026617608693215453,116159.9296171875,0.37416204810142517,3.3878866361192195e-06
216,0.3142327269111887,-0.014911210539996873,105121.12024609375,0.15705439448356628,3.2888374335016124e-06
217,0.7447398993913159,0.03284833999060338,130187.13619628907,0.3541145622730255,6.281908554228721e-06
218,0.9956377471970403,-0.0010622925563680394,191511.40429492187,0.4142920970916748,2.132129566234653e-06
219,0.9770816596784068,0.004178750500326858,234186.93858789062,0.4861604571342468,2.187691052313312e-06
220,0.8541767460783545,-0.030191254246624274,358970.7580605469,1.8711106777191162,4.517040451901266e-06
221,0.6724012976611217,-0.08004761568911614,171970.3287685547,2.06013822555542,2.3026155758998357e-05
222,0.3613530739947111,0.04202577187149685,252783.22674414061,0.8437641263008118,5.698038876289502e-06
223,0.7412704820350882,-0.015353827961475731,179220.6076894531,0.45021146535873413,3.4295660498173675e-06
224,0.8693826189147594,-0.008926437695019529,110663.9969375,0.3125077784061432,3.348721747897798e-06
